txn_id,user_id,txn_date,amount,ingestion_date
100001,1223,2024-01-23,336.98,2024-01-24
100002,1352,2024-02-10,534.25,2024-02-17
100003,1080,2024-01-06,120.46,2024-01-23
100004,1265,2024-02-13,928.18,2024-02-13
100005,1162,2024-02-08,591.79,2024-02-08
100006,1302,2024-02-17,820.97,2024-02-17
100007,1122,2024-01-23,937.58,2024-02-09
100008,1364,2024-02-07,216.12,2024-02-14
100009,1007,2024-01-26,269.84,2024-02-02
100010,1300,2024-01-22,115.92,2024-01-27
100011,1351,2024-02-10,654.13,2024-02-26
100012,1252,2024-01-14,477.66,2024-01-20
100013,1191,2024-02-29,639.93,2024-03-01
100014,1174,2024-02-14,60.79,2024-02-26
100015,1332,2024-01-17,277.96,2024-01-31
100016,1198,2024-02-07,246.30,2024-02-07
100017,1178,2024-01-01,589.81,2024-01-16
100018,1283,2024-01-10,50.72,2024-01-12
100019,1223,2024-02-27,879.37,2024-03-04
100020,1199,2024-02-02,158.56,2024-02-03
100021,1128,2024-01-17,465.96,2024-01-17
100022,1283,2024-01-15,119.10,2024-01-23
100023,1371,2024-01-01,688.12,2024-01-01
100024,1222,2024-01-11,567.14,2024-01-22
100025,1108,2024-02-10,403.92,2024-02-21
100026,1257,2024-02-08,226.26,2024-02-12
100027,1061,2024-01-21,316.56,2024-01-21
100028,1023,2024-02-23,102.18,2024-03-08
100029,1177,2024-01-26,827.69,2024-02-08
100030,1253,2024-02-26,847.88,2024-02-26
100031,1326,2024-01-07,79.12,2024-01-26
100032,1192,2024-02-20,465.34,2024-03-05
100033,1293,2024-02-05,146.24,2024-02-25
100034,1085,2024-01-01,437.69,2024-01-14
100035,1345,2024-01-30,361.08,2024-02-14
100036,1301,2024-02-09,686.63,2024-02-21
100037,1197,2024-01-07,927.02,2024-01-14
100038,1381,2024-02-28,325.74,2024-02-28
100039,1283,2024-02-04,40.17,2024-02-04
100040,1324,2024-01-14,544.55,2024-01-14
100041,1097,2024-01-31,273.77,2024-02-04
100042,1345,2024-02-20,810.55,2024-02-20
100043,1114,2024-01-21,441.06,2024-01-21
100044,1323,2024-01-29,170.93,2024-01-29
100045,1312,2024-01-26,332.96,2024-02-05
100046,1330,2024-01-30,577.42,2024-02-19
100047,1169,2024-01-01,861.24,2024-01-20
100048,1363,2024-02-05,921.93,2024-02-13
100049,1277,2024-02-18,91.29,2024-02-18
100050,1302,2024-02-25,815.56,2024-03-12
100051,1218,2024-01-17,820.47,2024-01-24
100052,1328,2024-02-09,566.09,2024-02-09
100053,1346,2024-02-29,796.77,2024-02-29
100054,1106,2024-01-09,272.42,2024-01-23
100055,1359,2024-02-29,702.01,2024-02-29
100056,1044,2024-02-20,241.85,2024-03-02
100057,1241,2024-02-08,418.19,2024-02-16
100058,1325,2024-02-06,848.31,2024-02-06
100059,1215,2024-02-22,566.27,2024-02-22
100060,1005,2024-02-01,150.03,2024-02-20
100061,1141,2024-02-12,854.36,2024-02-26
100062,1359,2024-02-14,931.37,2024-02-16
100063,1232,2024-02-20,941.80,2024-02-20
100064,1373,2024-01-18,699.47,2024-02-04
100065,1243,2024-01-07,41.60,2024-01-24
100066,1024,2024-02-12,380.66,2024-02-16
100067,1289,2024-02-19,435.29,2024-02-27
100068,1166,2024-01-05,88.11,2024-01-06
100069,1005,2024-01-09,661.57,2024-01-23
100070,1106,2024-01-21,902.94,2024-01-26
100071,1256,2024-02-18,346.90,2024-02-26
100072,1187,2024-02-03,618.78,2024-02-03
100073,1369,2024-01-05,95.29,2024-01-21
100074,1119,2024-02-29,638.89,2024-02-29
100075,1372,2024-01-28,162.09,2024-02-12
100076,1232,2024-01-28,816.45,2024-02-16
100077,1318,2024-02-15,32.95,2024-03-01
100078,1153,2024-02-03,445.94,2024-02-08
100079,1293,2024-01-27,831.75,2024-02-09
100080,1049,2024-01-23,183.85,2024-02-04
100081,1224,2024-02-17,599.20,2024-02-18
